³¯Â¥,"[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,+)"
2022-01-01,39,46,27,32,31,32,36,45,38,45,37,37,42,28,13,24
2022-01-02,30,35,27,32,29,31,33,40,34,40,31,31,34,23,11,19
2022-01-03,28,33,22,26,24,25,27,33,28,33,23,23,26,17,8,15
2022-01-04,24,28,20,24,26,27,27,33,26,31,25,25,25,17,7,14
2022-01-05,30,35,32,38,35,37,42,52,44,51,35,35,33,22,11,24
2022-01-06,32,38,29,34,37,39,35,44,40,46,32,32,30,21,9,18
2022-01-07,25,30,26,31,35,37,34,42,35,41,30,30,26,18,8,17
2022-01-08,50,59,50,59,74,78,66,81,65,75,66,66,58,39,19,29
2022-01-09,52,61,55,66,69,72,63,78,64,75,56,56,51,35,16,31
2022-01-10,48,57,49,59,62,65,55,67,58,68,49,49,42,28,14,30
2022-01-11,52,62,56,67,65,69,58,71,63,74,44,44,41,28,12,21
2022-01-12,55,65,67,80,111,116,92,113,94,109,66,66,47,32,18,38
2022-01-13,58,69,69,82,99,104,85,104,86,100,64,64,46,31,15,35
2022-01-14,55,66,81,97,140,146,92,113,86,100,53,53,46,31,15,37
2022-01-15,117,139,145,173,233,245,168,206,146,170,114,114,87,59,31,74
2022-01-16,128,152,139,166,201,211,144,177,148,172,118,118,78,53,30,74
2022-01-17,134,159,134,159,158,166,130,159,139,162,110,110,67,45,23,82
2022-01-18,132,157,150,179,184,193,142,174,142,166,114,114,73,49,26,51
2022-01-19,174,206,215,257,273,287,209,256,229,266,147,147,92,62,29,70
2022-01-20,169,201,254,303,352,369,224,275,240,280,169,168,104,70,41,102
2022-01-21,162,192,268,320,376,395,248,304,238,277,164,164,103,70,41,82
2022-01-22,280,332,455,543,609,639,390,478,388,452,280,280,173,117,54,133
2022-01-23,333,394,498,594,621,651,406,498,418,487,300,300,206,139,59,195
2022-01-24,349,414,484,577,571,599,399,489,447,521,322,322,187,126,64,138
2022-01-25,427,507,573,684,667,700,479,588,502,585,328,328,183,123,59,123
2022-01-26,555,658,884,1054,1067,1120,735,902,774,901,480,480,290,196,92,219
2022-01-27,605,717,1025,1222,1281,1345,748,917,823,959,534,534,312,211,105,274
2022-01-28,615,729,1072,1278,1507,1581,836,1025,920,1071,604,604,376,254,122,280
2022-01-29,807,957,1356,1618,1807,1897,1062,1303,1132,1318,799,799,464,313,150,344
2022-01-30,814,965,1358,1620,1718,1803,1082,1327,1150,1340,800,800,511,345,168,340
2022-01-31,842,998,1367,1630,1581,1659,1064,1304,1133,1320,769,769,489,330,155,318
2022-02-01,975,1156,1458,1739,1676,1759,1073,1315,1242,1447,851,851,520,351,153,321
2022-02-02,1018,1207,1544,1841,1821,1911,1219,1495,1411,1643,984,984,588,397,197,408
2022-02-03,1139,1351,1643,1959,2113,2217,1453,1782,1632,1902,1108,1108,649,438,197,404
2022-02-04,1216,1442,1836,2190,2660,2791,1721,2110,1962,2285,1369,1368,857,578,290,594
2022-02-05,1662,1971,2401,2863,3672,3853,2401,2945,2592,3020,1867,1867,1470,992,545,1092
2022-02-06,1776,2106,2597,3096,3722,3906,2471,3031,2758,3214,2092,2091,1628,1099,676,1225
2022-02-07,1570,1861,2314,2759,3426,3595,2264,2776,2524,2941,1988,1987,1434,968,593,1187
2022-02-08,1670,1980,2422,2888,3609,3788,2324,2850,2634,3069,2106,2106,1472,993,552,1112
2022-02-09,2194,2601,3319,3958,5062,5312,3166,3883,3390,3949,2714,2714,1984,1339,767,1657
2022-02-10,2529,2998,3777,4504,5605,5882,3439,4218,3620,4218,2914,2914,2003,1352,815,1651
2022-02-11,2497,2961,3701,4413,5581,5857,3559,4365,3632,4231,2773,2772,2075,1401,733,1696
2022-02-12,2728,3234,4009,4781,5637,5916,3562,4369,3739,4356,2871,2871,2215,1495,791,1758
2022-02-13,2983,3537,4178,4983,5519,5792,3538,4339,3855,4491,2903,2903,2294,1549,882,2044
2022-02-14,3120,3700,4145,4943,4878,5120,3453,4235,3896,4539,2927,2926,2188,1477,782,1633
2022-02-15,3643,4320,4286,5111,4803,5041,3779,4635,4108,4786,3058,3058,2188,1477,712,1532
2022-02-16,5693,6751,6390,7620,7506,7878,6025,7389,6637,7732,4827,4826,3663,2473,1299,2736
2022-02-17,5968,7077,6674,7959,7586,7961,6293,7717,6942,8088,4888,4887,3624,2446,1254,2737
2022-02-18,6392,7579,7502,8946,9329,9790,7733,9483,8340,9716,5832,5831,4497,3036,1488,3114
2022-02-19,5932,7033,7007,8356,8646,9073,6917,8482,7572,8822,5632,5631,4620,3119,1567,3383
2022-02-20,6561,7780,7067,8428,8417,8833,6903,8466,7644,8905,5847,5846,4978,3360,1749,3619
2022-02-21,6171,7318,6266,7473,7133,7486,6282,7703,7180,8365,5588,5588,4635,3129,1569,3089
2022-02-22,6990,8288,6377,7605,7266,7626,6980,8560,7689,8957,5526,5525,4354,2939,1440,3042
2022-02-23,11291,13389,9985,11907,13106,13754,12200,14961,13180,15355,9825,9823,8104,5470,2764,5648
2022-02-24,11130,13197,10443,12453,12649,13275,12133,14879,12900,15028,9462,9461,8082,5455,2833,5947
2022-02-25,9905,11744,10013,11940,12893,13531,11929,14629,12690,14784,9218,9217,8279,5588,2860,6004
