,,,2021-09-20,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01,2022-01-08,2022-01-15,2022-01-22,2022-01-29,2022-02-05,2022-02-12,2022-02-19,2022-02-26,2022-03-05,2022-03-12
10-14세,AZ,1차,11,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14세,AZ,2차 ,3,0,1,2,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10-14세,AZ,3차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14세,P,1차,20725,148,157,223,323,217855,195771,208038,305437,158156,174736,60342,109469,240464,233857,154363,51190,39168,28780,24347,15525,16055,14108,14065,5604,2978
10-14세,P,2차,19442,200,199,160,148,210,249,349,186544,168835,216418,275517,165304,182541,83043,107501,200350,199163,135228,69305,39933,36189,27954,20469,12370,9452
10-14세,P,3차,0,2,1,0,2,1,4,2,3,4,5,8,11,31,33,13,29,51,26,12,8,9,6,5,0,0
10-14세,JJ,1차,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14세,JJ,3차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14세,M,1차,36,12,4,2,0,15,8,2,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0
10-14세,M,2차,19,3,4,2,4,14,3,2,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0
10-14세,M,3차,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
15-19세,AZ,1차,727,70,42,26,7,35,23,9,10,8,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
15-19세,AZ,2차 ,454,15,32,16,9,16,8,27,35,43,38,31,12,15,6,1,1,0,0,0,0,2,0,0,0,0
15-19세,AZ,3차,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0
15-19세,P,1차,745448,18654,16098,2828,2762,2524,3765,3666,2699,2634,2966,2674,3633,5966,6821,3531,5057,3253,2059,1642,875,991,687,518,182,111
15-19세,P,2차,536453,14882,34399,65647,45299,36537,33567,8108,4480,4702,5379,4397,4734,5587,4516,4381,15660,20774,14353,7187,3567,3174,2186,1366,755,496
15-19세,P,3차,0,34,6,3,11,10,11,49,57,87,258,373,1473,79495,115077,72217,25637,30072,25710,33320,30146,49620,40457,43352,16364,13596
15-19세,JJ,1차,225,2,2,1,2,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0
15-19세,JJ,3차,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15-19세,M,1차,65503,23941,17904,2417,6019,670,1038,1078,827,404,10,5,2,5,1,0,0,1,0,0,0,0,0,0,0,0
15-19세,M,2차,7317,2170,3897,3106,14801,23520,37427,9641,7737,1171,6,5,9,9,5,4,2,0,0,0,0,2,1,0,0,0
15-19세,M,3차,0,2,0,0,0,1,2,6,13,7,28,33,76,818,1090,1815,167,300,516,1069,571,921,662,523,200,125
20-29세,AZ,1차,138561,145,81,75,25,28,22,15,14,28,9,4,3,2,0,0,1,2,0,0,0,0,0,0,0,0
20-29세,AZ,2차 ,134215,127,161,151,113,135,109,92,124,124,84,43,20,20,19,7,5,8,2,2,1,3,0,0,0,0
20-29세,AZ,3차,0,35,2,2,4,5,6,0,2,1,6,4,5,6,7,11,21,16,35,14,12,12,2,0,0,0
