老磊,0-9技,10-19技,20-29技,30-39技,40-49技,50-59技,60-69技,70-79技,80技捞惑
2022-01-01,678 ,472 ,505 ,648 ,664 ,593 ,563 ,186 ,105 
2022-01-02,520 ,465 ,480 ,581 ,595 ,497 ,458 ,156 ,78 
2022-01-03,488 ,388 ,388 ,475 ,492 ,362 ,347 ,123 ,61 
2022-01-04,416 ,356 ,422 ,475 ,458 ,393 ,339 ,98 ,65 
2022-01-05,522 ,554 ,578 ,754 ,756 ,560 ,439 ,169 ,109 
2022-01-06,555 ,505 ,613 ,632 ,686 ,506 ,407 ,130 ,89 
2022-01-07,443 ,454 ,571 ,610 ,604 ,481 ,352 ,111 ,85 
2022-01-08,408 ,408 ,569 ,554 ,524 ,493 ,366 ,132 ,49 
2022-01-09,423 ,455 ,528 ,527 ,522 ,416 ,323 ,110 ,66 
2022-01-10,396 ,404 ,478 ,457 ,474 ,370 ,262 ,94 ,70 
2022-01-11,425 ,460 ,502 ,483 ,513 ,330 ,256 ,83 ,42 
2022-01-12,452 ,553 ,851 ,766 ,759 ,496 ,294 ,126 ,86 
2022-01-13,476 ,563 ,759 ,707 ,699 ,478 ,291 ,101 ,88 
2022-01-14,454 ,666 ,"1,071 ",769 ,699 ,394 ,290 ,102 ,93 
2022-01-15,510 ,633 ,951 ,743 ,629 ,455 ,289 ,113 ,96 
2022-01-16,557 ,606 ,819 ,638 ,636 ,468 ,260 ,108 ,97 
2022-01-17,583 ,582 ,645 ,574 ,600 ,439 ,224 ,85 ,124 
2022-01-18,574 ,656 ,749 ,627 ,612 ,455 ,244 ,95 ,58 
2022-01-19,754 ,938 ,"1,113 ",925 ,984 ,585 ,307 ,106 ,92 
2022-01-20,735 ,"1,106 ","1,433 ",991 ,"1,035 ",670 ,345 ,149 ,136 
2022-01-21,704 ,"1,170 ","1,532 ","1,097 ","1,023 ",652 ,343 ,150 ,95 
2022-01-22,765 ,"1,248 ","1,559 ","1,085 ","1,051 ",700 ,362 ,125 ,109 
2022-01-23,909 ,"1,365 ","1,590 ","1,131 ","1,131 ",750 ,432 ,135 ,182 
2022-01-24,954 ,"1,326 ","1,462 ","1,109 ","1,211 ",805 ,392 ,147 ,105 
2022-01-25,"1,168 ","1,571 ","1,708 ","1,334 ","1,358 ",821 ,383 ,135 ,92 
2022-01-26,"1,516 ","2,422 ","2,734 ","2,046 ","2,094 ","1,199 ",607 ,211 ,177 
2022-01-27,"1,653 ","2,809 ","3,283 ","2,081 ","2,227 ","1,335 ",653 ,241 ,232 
2022-01-28,"1,679 ","2,938 ","3,860 ","2,326 ","2,489 ","1,511 ",787 ,281 ,221 
2022-01-29,"1,916 ","3,229 ","4,022 ","2,568 ","2,660 ","1,735 ",844 ,299 ,237 
2022-01-30,"1,931 ","3,233 ","3,824 ","2,616 ","2,704 ","1,737 ",929 ,335 ,216 
2022-01-31,"1,998 ","3,254 ","3,518 ","2,571 ","2,664 ","1,670 ",889 ,309 ,204 
2022-02-01,"2,314 ","3,472 ","3,730 ","2,593 ","2,920 ","1,848 ",945 ,305 ,210 
2022-02-02,"2,415 ","3,675 ","4,052 ","2,947 ","3,316 ","2,137 ","1,069 ",394 ,263 
2022-02-03,"2,704 ","3,911 ","4,701 ","3,512 ","3,837 ","2,406 ","1,181 ",393 ,260 
2022-02-04,"2,887 ","4,371 ","5,919 ","4,159 ","4,611 ","2,972 ","1,558 ",579 ,380 
2022-02-05,"3,750 ","5,432 ","7,766 ","5,517 ","5,791 ","3,853 ","2,541 ","1,036 ",653 
2022-02-06,"4,007 ","5,875 ","7,872 ","5,678 ","6,163 ","4,317 ","2,814 ","1,285 ",677 
2022-02-07,"3,541 ","5,235 ","7,246 ","5,201 ","5,640 ","4,102 ","2,479 ","1,127 ",710 
2022-02-08,"3,766 ","5,480 ","7,634 ","5,340 ","5,885 ","4,347 ","2,544 ","1,049 ",669 
2022-02-09,"4,948 ","7,510 ","10,706 ","7,275 ","7,574 ","5,602 ","3,429 ","1,458 ","1,044 "
2022-02-10,"5,704 ","8,546 ","11,855 ","7,902 ","8,089 ","6,015 ","3,462 ","1,548 ",997 
2022-02-11,"5,632 ","8,374 ","11,803 ","8,177 ","8,114 ","5,722 ","3,587 ","1,392 ","1,115 "
2022-02-12,"6,028 ","8,887 ","11,682 ","8,019 ","8,185 ","5,806 ","3,752 ","1,472 ","1,105 "
